Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
151.0000000000,-0.0015777493,0.0000000000,0.0500000007,0.5387939811
152.0000000000,-0.0015732220,0.0000000000,0.0500000007,0.5418198109
153.0000000000,-0.0015686947,0.0000000000,0.0500000007,0.5448455215
154.0000000000,-0.0015641674,0.0000000000,0.0500000007,0.5478712320
155.0000000000,-0.0015596402,0.0000000000,0.0500000007,0.5508970022
156.0000000000,-0.0015551129,0.0000000000,0.0500000007,0.5539227128
157.0000000000,-0.0015505856,0.0000000000,0.0500000007,0.5569485426
158.0000000000,-0.0015460583,0.0000000000,0.0500000007,0.5599741936
159.0000000000,-0.0015415311,0.0000000000,0.0500000007,0.5630000234
160.0000000000,-0.0015370038,0.0000000000,0.0500000007,0.5659797192
161.0000000000,-0.0015324765,0.0000000000,0.0500000007,0.5685710311
162.0000000000,-0.0015279492,0.0000000000,0.0500000007,0.5711624026
163.0000000000,-0.0015234220,0.0000000000,0.0500000007,0.5737537146
164.0000000000,-0.0015188947,0.0000000000,0.0500000007,0.5763450265
165.0000000000,-0.0015143674,0.0000000000,0.0500000007,0.5789363980
166.0000000000,-0.0015098401,0.0000000000,0.0500000007,0.5815277100
167.0000000000,-0.0015053129,0.0000000000,0.0500000007,0.5841190815
168.0000000000,-0.0015007856,0.0000000000,0.0500000007,0.5867103338
169.0000000000,-0.0014962583,0.0000000000,0.0500000007,0.5893017054
170.0000000000,-0.0014917310,0.0000000000,0.0500000007,0.5918930173
171.0000000000,-0.0014872038,0.0000000000,0.0500000007,0.5944843888
172.0000000000,-0.0014826765,0.0000000000,0.0500000007,0.5970757008
173.0000000000,-0.0014781492,0.0000000000,0.0500000007,0.5996670723
174.0000000000,-0.0014736219,0.0000000000,0.0500000007,0.6022583842
175.0000000000,-0.0014690947,0.0000000000,0.0500000007,0.6048496962
176.0000000000,-0.0014645674,0.0000000000,0.0500000007,0.6074410677
177.0000000000,-0.0014600401,0.0000000000,0.0500000007,0.6100323796
178.0000000000,-0.0014555128,0.0000000000,0.0500000007,0.6126236916
179.0000000000,-0.0014509856,0.0000000000,0.0500000007,0.6152150631
180.0000000000,-0.0014464583,0.0000000000,0.0500000007,0.6178064346
181.0000000000,-0.0014419310,0.0000000000,0.0500000007,0.6203976870
182.0000000000,-0.0014374037,0.0000000000,0.0500000007,0.6229890585
183.0000000000,-0.0014328765,0.0000000000,0.0500000007,0.6255803704
184.0000000000,-0.0014283492,0.0000000000,0.0500000007,0.6281717420
185.0000000000,-0.0014238219,0.0000000000,0.0500000007,0.6307630539
186.0000000000,-0.0014192946,0.0000000000,0.0500000007,0.6333544254
187.0000000000,-0.0014147674,0.0000000000,0.0500000007,0.6359456778
188.0000000000,-0.0014102401,0.0000000000,0.0500000007,0.6385370493
189.0000000000,-0.0014057128,0.0000000000,0.0500000007,0.6411284208
190.0000000000,-0.0014011855,0.0000000000,0.0500000007,0.6437197328
191.0000000000,-0.0013966582,0.0000000000,0.0500000007,0.6463110447
192.0000000000,-0.0013921310,0.0000000000,0.0500000007,0.6489024162
193.0000000000,-0.0013876037,0.0000000000,0.0500000007,0.6514937878
194.0000000000,-0.0013830764,0.0000000000,0.0500000007,0.6540850997
195.0000000000,-0.0013785491,0.0000000000,0.0500000007,0.6566764712
196.0000000000,-0.0013740219,0.0000000000,0.0500000007,0.6592677236
197.0000000000,-0.0013694946,0.0000000000,0.0500000007,0.6618590951
198.0000000000,-0.0013649673,0.0000000000,0.0500000007,0.6644504070
199.0000000000,-0.0013604400,0.0000000000,0.0500000007,0.6670417190
200.0000000000,-0.0013559128,0.0000000000,0.0500000007,0.6696330309
201.0000000000,-0.0013513855,0.0000000000,0.0500000007,0.6722244024
202.0000000000,-0.0013468582,0.0000000000,0.0500000007,0.6748157740
203.0000000000,-0.0013423309,0.0000000000,0.0500000007,0.6774070859
