"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.6333,-2.0328e-13,2.8144e-05,0.41816,1,0.00053118,0,-0.0017388,0.06
1.6333,-1.6554e-14,2.8575e-05,0.42123,1,0.00053572,0,-0.0017343,0.06
1.6333,-1.5145e-15,2.9005e-05,0.42429,1,0.00054026,0,-0.0017297,0.06
1.6333,-1.5144e-16,2.9435e-05,0.42736,1,0.0005448,0,-0.0017252,0.06
1.6333,-1.6119e-17,2.9865e-05,0.43043,1,0.00054934,0,-0.0017207,0.06
1.6333,-1.787e-18,3.0295e-05,0.43349,1,0.00055388,0,-0.0017161,0.06
1.6333,-6.1596e-13,3.0725e-05,0.43656,1,0.00055842,0,-0.0017116,0.06
1.6333,-2.2694e-13,3.1155e-05,0.43963,1,0.00056296,0,-0.001707,0.06
1.6333,-8.157e-14,3.1585e-05,0.44269,1,0.0005675,0,-0.0017025,0.06
1.6333,-2.8291e-14,3.2015e-05,0.44576,1,0.00057204,0,-0.001698,0.06
1.6333,-9.3444e-15,3.2446e-05,0.44883,1,0.00057658,0,-0.0016934,0.06
1.6333,-2.8916e-15,3.2876e-05,0.45189,1,0.00058112,0,-0.0016889,0.06
1.6333,-8.206e-16,3.3306e-05,0.45496,1,0.00058566,0,-0.0016843,0.06
1.6333,-2.0739e-16,3.3736e-05,0.45802,1,0.0005902,0,-0.0016798,0.06
1.6333,-4.4749e-17,3.4166e-05,0.46109,1,0.00059474,0,-0.0016753,0.06
1.6333,-7.7234e-18,3.4596e-05,0.46416,1,0.00059928,0,-0.0016707,0.06
1.6333,-9.5575e-19,3.5026e-05,0.46722,1,0.00060382,0,-0.0016662,0.06
1.6333,-7.8062e-13,3.5456e-05,0.47029,1,0.00060836,0,-0.0016616,0.06
1.6333,-1.3165e-13,3.5886e-05,0.47336,1,0.0006129,0,-0.0016571,0.06
1.6333,-5.8203e-15,3.6317e-05,0.47642,1,0.00061744,0,-0.0016526,0.06
1.6333,-2.3865e-18,3.6747e-05,0.47949,1,0.00062198,0,-0.001648,0.06
1.6333,-1.4151e-14,3.7177e-05,0.48256,1,0.00062652,0,-0.0016435,0.06
1.6333,-1.6906e-13,3.7607e-05,0.48562,1,0.00063106,0,-0.0016389,0.06
1.6333,-7.4447e-13,3.8037e-05,0.48869,1,0.0006356,0,-0.0016344,0.06
1.6333,-2.8046e-19,3.8467e-05,0.49176,1,0.00064014,0,-0.0016299,0.06
1.6333,-1.3399e-18,3.8897e-05,0.49482,1,0.00064468,0,-0.0016253,0.06
1.6333,-4.6755e-18,3.9327e-05,0.49789,1,0.00064922,0,-0.0016208,0.06
1.6333,-1.3189e-17,3.9757e-05,0.50096,1,0.00065376,0,-0.0016162,0.06
1.6333,-3.1869e-17,4.0187e-05,0.50402,1,0.0006583,0,-0.0016117,0.06
1.6333,-6.8459e-17,4.0618e-05,0.50709,1,0.00066284,0,-0.0016072,0.06
1.6333,-1.3409e-16,4.1048e-05,0.51016,1,0.00066738,0,-0.0016026,0.06
1.6333,-2.4383e-16,4.1478e-05,0.51322,1,0.00067192,0,-0.0015981,0.06
1.6333,-4.1715e-16,4.1908e-05,0.51629,1,0.00067646,0,-0.0015935,0.06
1.6333,-6.7828e-16,4.2338e-05,0.51935,1,0.000681,0,-0.001589,0.06
1.6333,-1.0564e-15,4.2768e-05,0.52242,1,0.00068554,0,-0.0015845,0.06
1.6333,-1.5859e-15,4.3198e-05,0.52549,1,0.00069008,0,-0.0015799,0.06
1.6333,-2.3061e-15,4.3628e-05,0.52855,1,0.00069462,0,-0.0015754,0.06
1.6333,-3.2618e-15,4.4058e-05,0.53162,1,0.00069916,0,-0.0015708,0.06
1.6333,-4.5023e-15,4.4489e-05,0.53469,1,0.0007037,0,-0.0015663,0.06
1.6333,-6.082e-15,4.4919e-05,0.53775,1,0.00070824,0,-0.0015618,0.06
1.6333,-8.0598e-15,4.5349e-05,0.54082,1,0.00071278,0,-0.0015572,0.06
1.6333,-1.0499e-14,4.5779e-05,0.54389,1,0.00071732,0,-0.0015527,0.06
1.6333,-1.3466e-14,4.6209e-05,0.54695,1,0.00072186,0,-0.0015481,0.06
1.6333,3.5335e-08,4.6643e-05,0.55003,1,0.0007264,0,-0.0015436,0.06
1.6333,2.6558e-17,4.7104e-05,0.55301,1,0.00073094,0,-0.0015391,0.06
1.6333,2.3118e-17,4.7581e-05,0.55599,1,0.00073548,0,-0.0015345,0.06
1.6333,1.9993e-17,4.8057e-05,0.55896,1,0.00074002,0,-0.00153,0.06
1.6333,1.717e-17,4.8534e-05,0.56193,1,0.00074456,0,-0.0015254,0.06
1.6333,1.4634e-17,4.901e-05,0.5649,1,0.0007491,0,-0.0015209,0.06
1.6333,1.237e-17,4.9487e-05,0.56787,1,0.00075364,0,-0.0015164,0.06
1.6333,1.0361e-17,4.9963e-05,0.57084,1,0.00075818,0,-0.0015118,0.06
1.6333,8.5929e-18,5.0439e-05,0.57381,1,0.00076272,0,-0.0015073,0.06
1.6333,7.0485e-18,5.0916e-05,0.57678,1,0.00076726,0,-0.0015027,0.06
1.6333,5.7116e-18,5.1392e-05,0.57975,1,0.0007718,0,-0.0014982,0.06
1.6333,4.5661e-18,5.1869e-05,0.58272,1,0.00077634,0,-0.0014937,0.06
1.6333,3.5954e-18,5.2345e-05,0.5857,1,0.00078088,0,-0.0014891,0.06
1.6333,2.7833e-18,5.2822e-05,0.58867,1,0.00078542,0,-0.0014846,0.06
1.6333,2.1138e-18,5.3298e-05,0.59164,1,0.00078996,0,-0.00148,0.06
