"p","U:0","U:1","U:2","U_0:0","U_0:1","U_0:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.011658,-2.2992e-17,2.0125e-09,0.99517,-1.0843e-16,2.0125e-09,0.99517,1.6755e-14,-2.0914e-12,-2.531e-10,1.6755e-14,-2.0914e-12,-2.531e-10,1,0.0017207,0,-0.00054934,0.199
0.011658,-2.3843e-17,2e-09,0.99608,-1.1014e-16,2e-09,0.99608,2.223e-14,-2.0523e-12,-2.5343e-10,2.223e-14,-2.0523e-12,-2.5343e-10,1,0.0017252,0,-0.0005448,0.199
0.011658,-2.4693e-17,1.9875e-09,0.99698,-1.1184e-16,1.9875e-09,0.99698,2.7706e-14,-2.0132e-12,-2.5376e-10,2.7706e-14,-2.0132e-12,-2.5376e-10,1,0.0017297,0,-0.00054026,0.199
0.011658,-2.5544e-17,1.9751e-09,0.99788,-1.1354e-16,1.9751e-09,0.99788,3.3182e-14,-1.9741e-12,-2.5409e-10,3.3182e-14,-1.9741e-12,-2.5409e-10,1,0.0017343,0,-0.00053572,0.199
0.011658,-2.6395e-17,1.9626e-09,0.99879,-1.1524e-16,1.9626e-09,0.99879,3.8658e-14,-1.935e-12,-2.5442e-10,3.8658e-14,-1.935e-12,-2.5442e-10,1,0.0017388,0,-0.00053118,0.199
0.011658,-2.7246e-17,1.9501e-09,0.99969,-1.1694e-16,1.9501e-09,0.99969,4.4134e-14,-1.8959e-12,-2.5475e-10,4.4134e-14,-1.8959e-12,-2.5475e-10,1,0.0017434,0,-0.00052664,0.199
0.011658,-2.8097e-17,1.9377e-09,1.0006,-1.1864e-16,1.9377e-09,1.0006,4.961e-14,-1.8568e-12,-2.5508e-10,4.961e-14,-1.8568e-12,-2.5508e-10,1,0.0017479,0,-0.0005221,0.199
0.011658,-1.6867e-17,1.9252e-09,1.0015,-1.0826e-16,1.9252e-09,1.0015,5.5085e-14,-1.8177e-12,-2.5541e-10,5.5085e-14,-1.8177e-12,-2.5541e-10,1,0.0017524,0,-0.00051756,0.199
0.011658,-2.5049e-17,1.9127e-09,1.0024,-1.173e-16,1.9127e-09,1.0024,6.0561e-14,-1.7786e-12,-2.5574e-10,6.0561e-14,-1.7786e-12,-2.5574e-10,1,0.001757,0,-0.00051302,0.199
0.011658,-2.9875e-17,1.9003e-09,1.0033,-1.2297e-16,1.9003e-09,1.0033,6.6037e-14,-1.7396e-12,-2.5607e-10,6.6037e-14,-1.7396e-12,-2.5607e-10,1,0.0017615,0,-0.00050848,0.199
0.011658,-3.1323e-17,1.8878e-09,1.0042,-1.2527e-16,1.8878e-09,1.0042,7.1513e-14,-1.7005e-12,-2.564e-10,7.1513e-14,-1.7005e-12,-2.564e-10,1,0.0017661,0,-0.00050394,0.199
0.011658,-2.937e-17,1.8753e-09,1.0051,-1.2417e-16,1.8753e-09,1.0051,7.6989e-14,-1.6614e-12,-2.5673e-10,7.6989e-14,-1.6614e-12,-2.5673e-10,1,0.0017706,0,-0.0004994,0.199
0.011658,-2.3996e-17,1.8628e-09,1.006,-1.1965e-16,1.8628e-09,1.006,8.2465e-14,-1.6223e-12,-2.5705e-10,8.2465e-14,-1.6223e-12,-2.5705e-10,1,0.0017751,0,-0.00049486,0.199
0.011658,-3.4053e-17,1.8504e-09,1.0069,-1.3056e-16,1.8504e-09,1.0069,8.794e-14,-1.5832e-12,-2.5738e-10,8.794e-14,-1.5832e-12,-2.5738e-10,1,0.0017797,0,-0.00049032,0.199
0.011658,-3.4904e-17,1.8379e-09,1.0078,-1.3226e-16,1.8379e-09,1.0078,9.3416e-14,-1.5441e-12,-2.5771e-10,9.3416e-14,-1.5441e-12,-2.5771e-10,1,0.0017842,0,-0.00048578,0.199
0.011658,-3.5755e-17,1.8254e-09,1.0087,-1.3396e-16,1.8254e-09,1.0087,9.8892e-14,-1.505e-12,-2.5804e-10,9.8892e-14,-1.505e-12,-2.5804e-10,1,0.0017888,0,-0.00048124,0.199
0.011658,-3.6606e-17,1.813e-09,1.0096,-1.3566e-16,1.813e-09,1.0096,1.0437e-13,-1.4659e-12,-2.5837e-10,1.0437e-13,-1.4659e-12,-2.5837e-10,1,0.0017933,0,-0.0004767,0.199
0.011658,-3.7457e-17,1.8005e-09,1.0105,-1.3736e-16,1.8005e-09,1.0105,1.0984e-13,-1.4268e-12,-2.587e-10,1.0984e-13,-1.4268e-12,-2.587e-10,1,0.0017978,0,-0.00047216,0.199
0.011658,-3.8307e-17,1.788e-09,1.0114,-1.3907e-16,1.788e-09,1.0114,1.1532e-13,-1.3877e-12,-2.5903e-10,1.1532e-13,-1.3877e-12,-2.5903e-10,1,0.0018024,0,-0.00046762,0.199
0.011658,-3.9158e-17,1.7756e-09,1.0123,-1.4077e-16,1.7756e-09,1.0123,1.208e-13,-1.3486e-12,-2.5936e-10,1.208e-13,-1.3486e-12,-2.5936e-10,1,0.0018069,0,-0.00046308,0.199
0.011658,-4.0009e-17,1.7631e-09,1.0132,-1.4247e-16,1.7631e-09,1.0132,1.2627e-13,-1.3095e-12,-2.5969e-10,1.2627e-13,-1.3095e-12,-2.5969e-10,1,0.0018115,0,-0.00045854,0.199
0.011658,-4.086e-17,1.7506e-09,1.0141,-1.4417e-16,1.7506e-09,1.0141,1.3175e-13,-1.2704e-12,-2.6002e-10,1.3175e-13,-1.2704e-12,-2.6002e-10,1,0.001816,0,-0.000454,0.199
